Time,Bucket,Size (GB)
2025-09-29 15:06:16.206153,test04,0.048828125
2025-09-29 15:06:16.206153,test05,0.146484375
2025-09-29 15:06:16.206153,test06,0.0
2025-09-29 15:06:16.206153,test07,0.0
2025-09-29 15:06:47.138025,test01,0.244140625
2025-09-29 15:06:47.138025,test02,0.244140625
2025-09-29 15:06:47.138025,test03,0.244140625
2025-09-29 15:06:47.138025,test04,0.048828125
2025-09-29 15:06:47.138025,test05,0.146484375
2025-09-29 15:06:47.138025,test06,0.0
2025-09-29 15:06:47.138025,test07,0.0
2025-09-29 15:07:16.180294,test01,0.244140625
2025-09-29 15:07:16.180294,test02,0.244140625
2025-09-29 15:07:16.180294,test03,0.244140625
2025-09-29 15:07:16.180294,test04,0.048828125
2025-09-29 15:07:16.180294,test05,0.146484375
2025-09-29 15:07:16.180294,test06,0.0
2025-09-29 15:07:16.180294,test07,0.0
2025-09-29 15:07:47.183224,test01,0.244140625
2025-09-29 15:07:47.183224,test02,0.244140625
2025-09-29 15:07:47.183224,test03,0.244140625
2025-09-29 15:07:47.183224,test04,0.048828125
2025-09-29 15:07:47.183224,test05,0.146484375
2025-09-29 15:07:47.183224,test06,0.0
2025-09-29 15:07:47.183224,test07,0.0
2025-09-29 15:08:17.239331,test01,0.244140625
2025-09-29 15:08:17.239331,test02,0.244140625
2025-09-29 15:08:17.239331,test03,0.244140625
2025-09-29 15:08:17.239331,test04,0.048828125
2025-09-29 15:08:17.239331,test05,0.146484375
2025-09-29 15:08:17.239331,test06,0.0
2025-09-29 15:08:17.239331,test07,0.0
2025-09-29 15:08:40.094322,test01,0.244140625
2025-09-29 15:08:40.094322,test02,0.244140625
2025-09-29 15:08:40.094322,test03,0.244140625
2025-09-29 15:08:40.094322,test04,0.048828125
2025-09-29 15:08:40.094322,test05,0.146484375
2025-09-29 15:08:40.094322,test06,0.0
2025-09-29 15:08:40.094322,test07,0.0
2025-09-29 15:09:11.331649,test01,0.244140625
2025-09-29 15:09:11.331649,test02,0.244140625
2025-09-29 15:09:11.331649,test03,0.244140625
2025-09-29 15:09:11.331649,test04,0.048828125
2025-09-29 15:09:11.331649,test05,0.146484375
2025-09-29 15:09:11.331649,test06,0.0
2025-09-29 15:09:11.331649,test07,0.0
2025-09-29 15:09:15.555307,test01,0.244140625
2025-09-29 15:09:15.555307,test02,0.244140625
2025-09-29 15:09:15.555307,test03,0.244140625
2025-09-29 15:09:15.555307,test04,0.048828125
2025-09-29 15:09:15.555307,test05,0.146484375
2025-09-29 15:09:15.555307,test06,0.0
2025-09-29 15:09:15.555307,test07,0.0
2025-09-29 15:09:46.874914,test01,0.244140625
2025-09-29 15:09:46.874914,test02,0.244140625
2025-09-29 15:09:46.874914,test03,0.244140625
2025-09-29 15:09:46.874914,test04,0.048828125
2025-09-29 15:09:46.874914,test05,0.146484375
2025-09-29 15:09:46.874914,test06,0.0
2025-09-29 15:09:46.874914,test07,0.0
2025-09-29 15:10:17.126583,test01,0.244140625
2025-09-29 15:10:17.126583,test02,0.244140625
2025-09-29 15:10:17.126583,test03,0.244140625
2025-09-29 15:10:17.126583,test04,0.048828125
2025-09-29 15:10:17.126583,test05,0.146484375
2025-09-29 15:10:17.126583,test06,0.0
2025-09-29 15:10:17.126583,test07,0.0
2025-09-29 15:10:47.175732,test01,0.244140625
2025-09-29 15:10:47.175732,test02,0.244140625
2025-09-29 15:10:47.175732,test03,0.244140625
2025-09-29 15:10:47.175732,test04,0.048828125
2025-09-29 15:10:47.175732,test05,0.146484375
2025-09-29 15:10:47.175732,test06,0.0
2025-09-29 15:10:47.175732,test07,0.0
2025-09-29 15:11:02.398942,test01,0.244140625
2025-09-29 15:11:02.398942,test02,0.244140625
2025-09-29 15:11:02.398942,test03,0.244140625
